Drug,Class_ID,Classification
dulaglutide,A10BJ05,Drugs used in diabetes
hydrocodone,R05DA03,Cough and cold preparations
tadalafil,G04BE08,Urologicals
"Imidazole derivatives, gyncological antiinfectives",G01AF,Gynecological antiinfectives and antiseptics
tidiacic arginine,A05BA07,Bile and liver therapy
quinbolone,A14AA06,Anabolic agents for systemic use
trimethobenzamide,R06AA10,Antihistamines for systemic use
timepidium bromide,A03AB19,Drugs for functional gastrointestinal disorders
desflurane,N01AB07,Anesthetics
beclamide,N03AX30,Antiepileptics
hepatitis A immunoglobulin,J06BB11,Immune sera and immunoglobulins
DRUGS FOR TREATMENT OF LEPRA,J04B,Antimycobacterials
colesevelam,C10AC04,Lipid modifying agents
Drugs used in erectile dysfunction,G04BE,Urologicals
trovafloxacin,J01MA13,Antibacterials for systemic use
bromazepam,N05BA08,Psycholeptics
Colony stimulating factors,L03AA,Immunostimulants
"Antiarrhythmics, class Ic",C01BC,Cardiac therapy
encainide,C01BC08,Cardiac therapy
BILE AND LIVER THERAPY DRUGS,A05,Bile and liver therapy
oxyphencyclimine,A03AA01,Drugs for functional gastrointestinal disorders
Organ or Tissue Function,T042,NA
"quinidine, combinations with psycholeptics",C01BA71,Cardiac therapy
OTHER OPHTHALMOLOGICALS IN ATC,S01X,Ophthalmologicals
Fungus,T004,NA
Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF,Antivirals for systemic use
triamcinolone and antibiotics,D07CB01,Corticosteroids
diagnostic agents for fat absorption testing,V04CB,Diagnostic agents
propamidine,S01AX15,Ophthalmologicals
"Serotonin antagonists, antihypertensives",C02KD,Antihypertensives
pegaspargase,L01XX24,Antineoplastic agents
antithymocyte immunoglobulin (rabbit),L04AA04,Immunosuppressants
carbenicillin,J01CA03,Antibacterials for systemic use
ANTICESTODALS,P02D,Anthelmintics
bufexamac,M01AB17,Anti-inflammatory and antirheumatic products
"meningococcus A,C, bivalent purified polysaccharides antigen",J07AH03,Vaccines
cefazedone,J01DB06,Antibacterials for systemic use
zomepirac,M01AB04,Anti-inflammatory and antirheumatic products
nomegestrol and estrogen,G03FB12,Sex hormones and modulators of the genital system
clevidipine,C08CA16,Calcium channel blockers
ofloxacin,S01AE01,Ophthalmologicals
"meningococcus B, outer membrane vesicle vaccine",J07AH06,Vaccines
"Carbamic acid esters, centrally acting muscle relaxants",M03BA,Muscle relaxants
"Ovulation stimulants, synthetic",G03GB,Sex hormones and modulators of the genital system
mupirocin,D06AX09,Antibiotics and chemotherapeutics for dermatological use
minocycline,J01AA08,Antibacterials for systemic use
pheneturide,N03AX13,Antiepileptics
arsenic trioxide,L01XX27,Antineoplastic agents
estramustine,L01XX11,Antineoplastic agents
hydrocortisone,S01BA02,Ophthalmologicals
sodium oxybate,N07XX04,Other nervous system drugs
lactobacillus fermentum,G01AX14,Gynecological antiinfectives and antiseptics
fenbufen,M01AE05,Anti-inflammatory and antirheumatic products
danaparoid,B01AB09,Antithrombotic agents
lodoxamide,S01GX05,Ophthalmologicals
2-amino-1-phenylethanol derivatives,C04AA,Peripheral vasodilators
ordinary salt combinations and antiflatulents,A02AF02,Drugs for acid related disorders
triticum (wheat fibre),A06AC07,Drugs for constipation
flupentixol,N05AF01,Psycholeptics
tofacitinib,L04AA29,Immunosuppressants
teclozan,P01AC04,Antiprotozoals
olsalazine,A07EC03,Antidiarrheals
latamoxef,J01DD06,Antibacterials for systemic use
betamethasone,S03BA03,Ophthalmological and otological preparations
bromocriptine,N04BC01,Anti-parkinson drugs
"Imidazothiazole derivatives, antinematodal",P02CE,Anthelmintics
"Antibiotics, ophthalmologic",S01AA,Ophthalmologicals
penbutolol and other diuretics,C07CA23,Beta blocking agents
tolbutamide,A10BB03,Drugs used in diabetes
Genetic Function,T045,NA
clotiazepam,N05BA21,Psycholeptics
"aciclovir, combinations",D06BB53,Antibiotics and chemotherapeutics for dermatological use
oxycodone and paracetamol,N02AJ17,Analgesics
"donepezil, memantine and Ginkgo folium",N06DA53,Psychoanaleptics
"Ethers chemically close to antihistamines, centrally acting muscle relaxants",M03BC,Muscle relaxants
pentamycin,G01AA11,Gynecological antiinfectives and antiseptics
nystatin,A07AA02,Antidiarrheals
asparaginase,L01XX02,Antineoplastic agents
eprozinol,R03DX02,Drugs for obstructive airway diseases
cyamemazine,N05AA06,Psycholeptics
Other cephalosporins and penems in ATC,J01DI,Antibacterials for systemic use
ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS,G01B,Gynecological antiinfectives and antiseptics
"pyrimethamine, combinations",P01BD51,Antiprotozoals
dacarbazine,L01AX04,Antineoplastic agents
artificial tears and other indifferent preparations,S01XA20,Ophthalmologicals
selenium compounds,D11AC03,Other dermatological preparations
aluminium chlorohydrate,M05BX02,Drugs for treatment of bone diseases
chlorhexidine,D08AC02,Antiseptics and disinfectants
Quinoline gynecological antiinfectives,G01AC,Gynecological antiinfectives and antiseptics
benzyl benzoate,P03AX01,Ectoparasiticides
zinc sulfate,A12CB01,Mineral supplements
etanautine,N04AB01,Anti-parkinson drugs
"Choline derivative muscle relaxants, peripherally acting",M03AB,Muscle relaxants
anidulafungin,J02AX06,Antimycotics for systemic use
medifoxamine,N06AX13,Psychoanaleptics
norgestimate and ethinylestradiol,G03AB09,Sex hormones and modulators of the genital system
sipuleucel-T,L03AX17,Immunostimulants
bekanamycin,J01GB13,Antibacterials for systemic use
pipenzolate and psycholeptics,A03CA09,Drugs for functional gastrointestinal disorders
methaqualone,N05CM01,Psycholeptics
sirolimus,S01XA23,Ophthalmologicals
micronomicin,S01AA22,Ophthalmologicals
dornase alfa (desoxyribonuclease),R05CB13,Cough and cold preparations
fluorometholone,S01CB05,Ophthalmologicals
burosumab,M05BX05,Drugs for treatment of bone diseases
losartan and diuretics,C09DA01,Agents acting on the renin–angiotensin system
alendronic acid and colecalciferol,M05BB03,Drugs for treatment of bone diseases
montelukast,R03DC03,Drugs for obstructive airway diseases
ancrod,B01AD09,Antithrombotic agents
caffeine,N06BC01,Psychoanaleptics
ANTIHISTAMINES FOR SYSTEMIC USE,R06A,Antihistamines for systemic use
Salt solution combinations,B05CB10,Blood substitutes and perfusion solutions
Anti-estrogens,L02BA,Endocrine therapy
Corticosteroids/antiinfectives/mydriatics in combination,S01CB,Ophthalmologicals
MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,V08C,Contrast media
iodine iofetamine (123I),V09AB01,Diagnostic radiopharmaceuticals
cimetidine,A02BA01,Drugs for acid related disorders
Antispasmodics in combination with other drugs,A03ED,Drugs for functional gastrointestinal disorders
orciprenaline,R03CB03,Drugs for obstructive airway diseases
homatropine,S01FA05,Ophthalmologicals
Combination solutions for parenteral nutrition,B05BA10,Blood substitutes and perfusion solutions
methantheline,A03AB07,Drugs for functional gastrointestinal disorders
Other antispasmodics in combination with analgesics in ATC,A03DC,Drugs for functional gastrointestinal disorders
calcium phosphate,A12AA01,Mineral supplements
irbesartan and diuretics,C09DA04,Agents acting on the renin–angiotensin system
quinapril and diuretics,C09BA06,Agents acting on the renin–angiotensin system
technetium (99mTc) disofenin,V09DA01,Diagnostic radiopharmaceuticals
technetium (99mTc) pyrophosphate,V09BA03,Diagnostic radiopharmaceuticals
lorlatinib,L01XE44,Antineoplastic agents
acetic acid,G01AD02,Gynecological antiinfectives and antiseptics
Behavior,T053,NA
aloxiprin,N02BA02,Analgesics
Blood substitutes and plasma protein fractions,B05AA,Blood substitutes and perfusion solutions
iodine (124I) 2beta-carbomethoxy-3beta-(4 iodophenyl)-tropane,V09AX03,Diagnostic radiopharmaceuticals
nizatidine,A02BA04,Drugs for acid related disorders
ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,A03E,Drugs for functional gastrointestinal disorders
PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,Pituitary and hypothalamic hormones and analogues
clorexolone,C03BA12,Diuretics
epinephrine and other drugs for obstructive airway diseases,R03AK01,Drugs for obstructive airway diseases
azidamfenicol,S01AA25,Ophthalmologicals
mannitol,R05CB16,Cough and cold preparations
"Methyldopa, centrally acting adntiadrenergic agents",C02AB,Antihypertensives
oxytetracycline,D06AA03,Antibiotics and chemotherapeutics for dermatological use
penciclovir,D06BB06,Antibiotics and chemotherapeutics for dermatological use
bromazine,R06AA01,Antihistamines for systemic use
trepibutone,A03AX09,Drugs for functional gastrointestinal disorders
"carteolol, combinations",S01ED55,Ophthalmologicals
tetanus immunoglobulin,J06BB02,Immune sera and immunoglobulins
vinburnine,C04AX17,Peripheral vasodilators
adrenalone,A01AD06,Stomatological preparations
difenoxin,A07DA04,Antidiarrheals
salicylamide,N02BA05,Analgesics
sulfafurazole,J01EB05,Antibacterials for systemic use
local opthalmologic anesthetic combinations,S01HA30,Ophthalmologicals
sulfadiazine and tetroxoprim,J01EE06,Antibacterials for systemic use
ALIMENTARY TRACT AND METABOLISM DRUGS,A,NA
acetyldigoxin,C01AA02,Cardiac therapy
pentobarbital,N05CA01,Psycholeptics
piritramide,N02AC03,Analgesics
Anthrax vaccines,J07AC,Vaccines
Individual Behavior,T055,NA
somatorelin,V04CD05,Diagnostic agents
"Tars, topical antipsoriatics",D05AA,Antipsoriatics
olaparib,L01XX46,Antineoplastic agents
COMBINATIONS OF ANTIBACTERIALS,J01R,Antibacterials for systemic use
fluorodopa (18F),V09IX05,Diagnostic radiopharmaceuticals
stem cells from umbilical cord blood,B05AX04,Blood substitutes and perfusion solutions
Imidazoline receptor agonists in combination with diuretics,C02LC,Antihypertensives
"OTHER VITAMIN PRODUCTS, COMBINATIONS in ATC",A11J,Vitamins
macitentan,C02KX04,Antihypertensives
bromelains,M09AB03,Other drugs for disorders of the musculo-skeletal system
"metamizole sodium, combinations with psycholeptics",N02BB72,Analgesics
infliximab,L04AB02,Immunosuppressants
fenpiprane,A03AX01,Drugs for functional gastrointestinal disorders
guanfacine,C02AC02,Antihypertensives
nicofetamide,A03AC04,Drugs for functional gastrointestinal disorders
pralidoxime,V03AB04,All other therapeutic products
bietaserpine and diuretics,C02LA07,Antihypertensives
liquid paraffin,A06AA01,Drugs for constipation
phenylbutazone and corticosteroids,M01BA01,Anti-inflammatory and antirheumatic products
DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,Drugs for acid related disorders
suxibuzone,M02AA22,Topical products for joint and muscular pain
certolizumab pegol,L04AB05,Immunosuppressants
"methylpropylpropanediol dinitrate, combinations",C01DA54,Cardiac therapy
dimetacrine,N06AA18,Psychoanaleptics
phenazone,S02DA03,Otologicals
pinacidil,C02DG01,Antihypertensives
"Insulins and analogs for injection, intermediate-acting combinations",A10AC30,Drugs used in diabetes
sucroferric oxyhydroxide,V03AE05,All other therapeutic products
oxaceprol,D11AX09,Other dermatological preparations
carteolol,C07AA15,Beta blocking agents
ferric citrate,V03AE08,All other therapeutic products
propylthiouracil,H03BA02,Thyroid therapy
artemisinin,P01BE01,Antiprotozoals
metformin and empagliflozin,A10BD20,Drugs used in diabetes
osimertinib,L01XE35,Antineoplastic agents
Diagnostic agents for diabetes testing,V04CA,Diagnostic agents
technetium (99mTc) teboroxime,V09GA03,Diagnostic radiopharmaceuticals
"VITAMIN B-COMPLEX, INCL. COMBINATIONS",A11E,Vitamins
cariprazine,N05AX15,Psycholeptics
fluocinolone acetonide,S02BA08,Otologicals
Other centrally acting agents in ATC,M03BX,Muscle relaxants
Drugs for treatment of hyperkalemia and hyperphosphatemia,V03AE,All other therapeutic products
tenoxicam,M01AC02,Anti-inflammatory and antirheumatic products
thyrotropin,V04CJ01,Diagnostic agents
Osmotically acting laxatives,A06AD,Drugs for constipation
Antifungals for systemic use,D01BA,Antifungals for dermatological use
BETA BLOCKING AGENTS AND VASODILATORS,C07E,Beta blocking agents
tetramethrin,P03BA04,Ectoparasiticides
silodosin,G04CA04,Urologicals
phenolsulfonphthalein,V04CH03,Diagnostic agents
technetium (99mTc) rheniumsulfide colloid,V09DB06,Diagnostic radiopharmaceuticals
broxyquinoline,G01AC06,Gynecological antiinfectives and antiseptics
ANTIHEMORRHAGICS,B02,Antihemorrhagics
tisopurine,M04AA02,Antigout preparations
"Body Part, Organ, or Organ Component",T023,NA
emylcamate,N05BC03,Psycholeptics
Group,T096,NA
megestrol and ethinylestradiol,G03AB01,Sex hormones and modulators of the genital system
moexipril and diuretics,C09BA13,Agents acting on the renin–angiotensin system
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,A16,Other alimentary tract and metabolism products
norethisterone,G03DC02,Sex hormones and modulators of the genital system
"typhoid, inactivated, whole cell",J07AP02,Vaccines
ioxaglic acid,V08AB03,Contrast media
Other drugs affecting bone structure and mineralization in ATC,M05BX,Drugs for treatment of bone diseases
acarbose,A10BF01,Drugs used in diabetes
pimozide,N05AG02,Psycholeptics
oxetacaine,C05AD06,Vasoprotectives
"liquid paraffin, combinations",A06AA51,Drugs for constipation
"Acid preparations, digestives",A09AB,Digestives
meclofenoxate,N06BX01,Psychoanaleptics
"fibrinogen, human",B02BB01,Antihemorrhagics
ziprasidone,N05AE04,Psycholeptics
"multivitamins and other minerals, incl. combinations",A11AA03,Vitamins
simvastatin,C10AA01,Lipid modifying agents
fertility disturbances test diagnostic agents,V04CM,Diagnostic agents
metisazone,J05AA01,Antivirals for systemic use
chloroprocaine,N01BA04,Anesthetics
Non-selective beta-adrenoreceptor agonist inhalants,R03AB,Drugs for obstructive airway diseases
fluconazole,J02AC01,Antimycotics for systemic use
Other antihistamines for systemic use in ATC,R06AX,Antihistamines for systemic use
pyrrobutamine,R06AX08,Antihistamines for systemic use
perflenapent,V08DA03,Contrast media
Iron in other combinations,B03AE,Antianemic preparations
zolimidine,A02BX10,Drugs for acid related disorders
"Gonadotropin releasing hormone analogues, endocrine therapy drugs",L02AE,Endocrine therapy
salbutamol and sodium cromoglicate,R03AK04,Drugs for obstructive airway diseases
trypsin,B06AA07,Other hematological agents
methylthioninium chloride,V03AB17,All other therapeutic products
alfuzosin and finasteride,G04CA51,Urologicals
indium (111In) antiovariumcarcinoma antibody,V09IB03,Diagnostic radiopharmaceuticals
dexpanthenol,D03AX03,Preparations for treatment of wounds and ulcers
cyclophosphamide,L01AA01,Antineoplastic agents
"atenolol, thiazides and other diuretics",C07DB01,Beta blocking agents
DRUGS USED IN ADDICTIVE DISORDERS,N07B,Other nervous system drugs
tafluprost,S01EE05,Ophthalmologicals
fosinopril and diuretics,C09BA09,Agents acting on the renin–angiotensin system
vismodegib,L01XX43,Antineoplastic agents
"Arsenic compounds, for amoebiasis and other protozoal diseases",P01AR,Antiprotozoals
Mammal,T015,NA
"Corticosteroid derivatives, antimigraine drugs",N02CB,Analgesics
propatylnitrate,C01DA07,Cardiac therapy
ezetimibe,C10AX09,Lipid modifying agents
"Nitrosoureas, antineoplastic alkylating agents",L01AD,Antineoplastic agents
sulprostone,G02AD05,Other gynecologicals
brodalumab,L04AC12,Immunosuppressants
dimethyl fumarate,L04AX07,Immunosuppressants
spiramycin,J01FA02,Antibacterials for systemic use
sodium chloride,A12CA01,Mineral supplements
mepartricin,A01AB16,Stomatological preparations
"zidovudine, lamivudine and nevirapine",J05AR05,Antivirals for systemic use
ronifibrate,C10AB07,Lipid modifying agents
BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,Blood substitutes and perfusion solutions
fenticonazole,D01AC12,Antifungals for dermatological use
bezlotoxumab,J06BB21,Immune sera and immunoglobulins
tocofersolan,A11HA08,Vitamins
"cyclopentolate, combinations",S01FA54,Ophthalmologicals
Other high-ceiling diuretics in ATC,C03CX,Diuretics
betamethasone and antiinfectives,S01CA05,Ophthalmologicals
follitropin beta,G03GA06,Sex hormones and modulators of the genital system
tolpropamine,D04AA12,Antipruritics
propyliodone,V08AD03,Contrast media
rifamycin,S02AA12,Otologicals
chlorhexidine,A01AB03,Stomatological preparations
carbenoxolone,A02BX01,Drugs for acid related disorders
"tiotropium bromide, combinations",R03BB54,Drugs for obstructive airway diseases
sulfamoxole,J01EC03,Antibacterials for systemic use
veralipride,N05AL06,Psycholeptics
"Corticosteroids and antiinfectives in combination, opthalmologic",S01CA,Ophthalmologicals
aminophenazone,N02BB03,Analgesics
technetium (99mTc) exametazime,V09AA01,Diagnostic radiopharmaceuticals
"pantoprazole, amoxicillin, clarithromycin and metronidazole",A02BD11,Drugs for acid related disorders
sirukumab,L04AC15,Immunosuppressants
"buprenorphine, combinations",N07BC51,Other nervous system drugs
nepafenac,S01BC10,Ophthalmologicals
"Prostaglandins, oxytocics",G02AD,Other gynecologicals
ciprofloxacin,S02AA15,Otologicals
filgrastim,L03AA02,Immunostimulants
"etidocaine, combinations",N01BB57,Anesthetics
ticarcillin,J01CA13,Antibacterials for systemic use
doxycycline,J01AA02,Antibacterials for systemic use
triamterene,C03DB02,Diuretics
telavancin,J01XA03,Antibacterials for systemic use
rufloxacin,J01MA10,Antibacterials for systemic use
methylprednisolone and antiinfectives,S01CA08,Ophthalmologicals
proguanil,P01BB01,Antiprotozoals
mercuric amidochloride,D08AK01,Antiseptics and disinfectants
flurbiprofen,M02AA19,Topical products for joint and muscular pain
lamivudine,J05AF05,Antivirals for systemic use
flunarizine,N07CA03,Other nervous system drugs
carbamazepine,N03AF01,Antiepileptics
pegvisomant,H01AX01,Pituitary and hypothalamic hormones and analogues
edaravone,N07XX14,Other nervous system drugs
"CORTICOSTEROIDS, OTHER COMBINATIONS",D07X,Corticosteroids
cefalotin,J01DB03,Antibacterials for systemic use
proglumetacin,M01AB14,Anti-inflammatory and antirheumatic products
Alpha-adrenoreceptor antagonists and diuretics,C02LE,Antihypertensives
vintafolide,L01CA06,Antineoplastic agents
butenafine,D01AE23,Antifungals for dermatological use
ANTIANEMIC PREPARATIONS,B03,Antianemic preparations
Hemofiltrates,B05ZB,Blood substitutes and perfusion solutions
nicorandil,C01DX16,Cardiac therapy
levocabastine,S01GX02,Ophthalmologicals
indacaterol,R03AC18,Drugs for obstructive airway diseases
Organism Attribute,T032,NA
febarbamate,M03BA05,Muscle relaxants
"meprobamate, combinations",N05CX01,Psycholeptics
bumetanide,C03CA02,Diuretics
metacycline,J01AA05,Antibacterials for systemic use
dexmethylphenidate,N06BA11,Psychoanaleptics
"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",D07C,Corticosteroids
gadoxetic acid,V08CA10,Contrast media
lercanidipine,C08CA13,Calcium channel blockers
"papaverine, combinations",G04BE52,Urologicals
Selective estrogen receptor modulators,G03XC,Sex hormones and modulators of the genital system
naproxcinod,M01AE18,Anti-inflammatory and antirheumatic products
naproxen,M01AE02,Anti-inflammatory and antirheumatic products
physostigmine,S01EB05,Ophthalmologicals
acetarsol,A07AX02,Antidiarrheals
povidone-iodine,G01AX11,Gynecological antiinfectives and antiseptics
procaine,S01HA05,Ophthalmologicals
PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,N06C,Psychoanaleptics
everolimus,L01XE10,Antineoplastic agents
evolocumab,C10AX13,Lipid modifying agents
tirilazad,N07XX01,Other nervous system drugs
xylometazoline,R01AA07,Nasal preparations
Centrally acting antiobesity products,A08AA,Antiobesity preparations
dopexamine,C01CA14,Cardiac therapy
doxapram,R07AB01,Other respiratory system products
loprazolam,N05CD11,Psycholeptics
valrubicin,L01DB09,Antineoplastic agents
epanolol,C07AB10,Beta blocking agents
nadroparin,B01AB06,Antithrombotic agents
buformin,A10BA03,Drugs used in diabetes
zinc chloride,B05XA12,Blood substitutes and perfusion solutions
midodrine,C01CA17,Cardiac therapy
umeclidinium bromide,R03BB07,Drugs for obstructive airway diseases
guanoxabenz,C02CC07,Antihypertensives
ferrous glycine sulfate,B03AA01,Antianemic preparations
"Estrogens, combinations with other drugs",G03CC,Sex hormones and modulators of the genital system
cinchophen,M04AC02,Antigout preparations
nesiritide,C01DX19,Cardiac therapy
lofexidine,N07BC04,Other nervous system drugs
"neomycin, combinations",A07AA51,Antidiarrheals
lutetium (177Lu) oxodotreotide,V10XX04,Therapeutic radiopharmaceuticals
"Corticosteroids, topical for treatment of hemorrhoids and anal fissures",C05AA,Vasoprotectives
oxyphencyclimine and psycholeptics,A03CA03,Drugs for functional gastrointestinal disorders
etafenone,C01DX07,Cardiac therapy
ceftriaxone and beta-lactamase inhibitor,J01DD63,Antibacterials for systemic use
bromides,N05CM11,Psycholeptics
"phenytoin, combinations",N03AB52,Antiepileptics
thiamine,A11DA01,Vitamins
"measles, combinations with mumps and rubella, live attenuated",J07BD52,Vaccines
Opium derivatives and expectorants,R05FA,Cough and cold preparations
dicloxacillin,J01CF01,Antibacterials for systemic use
megestrol,G03DB02,Sex hormones and modulators of the genital system
tramadol and dexketoprofen,N02AJ14,Analgesics
albinterferon alfa-2b,L03AB12,Immunostimulants
ANTICHOLINERGIC AGENTS,N04A,Anti-parkinson drugs
THYROID DIAGNOSTIC RADIOPHARMACEUTICALS,V09F,Diagnostic radiopharmaceuticals
"Ergot alkaloids, antimigraine",N02CA,Analgesics
OTHER MINERAL SUPPLEMENTS in ATC,A12C,Mineral supplements
carteolol,S01ED05,Ophthalmologicals
Antiseptics and corticosteroids,G01BD,Gynecological antiinfectives and antiseptics
iopentol,V08AB08,Contrast media
chondroitin sulfate-iron complex,B03AB07,Antianemic preparations
fluocortolone,C05AA08,Vasoprotectives
moperone,N05AD04,Psycholeptics
sequifenadine,R06AX32,Antihistamines for systemic use
nitrazepam,N05CD02,Psycholeptics
oxacillin,J01CF04,Antibacterials for systemic use
nedocromil,R01AC07,Nasal preparations
mitobronitol,L01AX01,Antineoplastic agents
terbinafine,D01BA02,Antifungals for dermatological use
doxercalciferol,H05BX03,Calcium homeostasis
"Trimethoprim and derivatives, systemic antibacterials",J01EA,Antibacterials for systemic use
"encephalitis, tick borne, inactivated, whole virus",J07BA01,Vaccines
cyclopenthiazide and potassium-sparing agents,C03EA07,Diuretics
coagulation factor VII,B02BD05,Antihemorrhagics
pemetrexed,L01BA04,Antineoplastic agents
prednisolone,S01CB02,Ophthalmologicals
ribostamycin,J01GB10,Antibacterials for systemic use
decamethoxine,D08AJ10,Antiseptics and disinfectants
"Zinc products, emollients and protectives",D02AB,Emollients and protectives
histamine dihydrochloride,L03AX14,Immunostimulants
potassium salicylate,N02BA12,Analgesics
bevonium and psycholeptics,A03CA06,Drugs for functional gastrointestinal disorders
Dipeptidyl peptidase 4 (DPP-4) inhibitors for blood glucose lowering,A10BH,Drugs used in diabetes
ampicillin and beta-lactamase inhibitor,J01CR01,Antibacterials for systemic use
carbasalate calcium,N02BA15,Analgesics
BLOOD AND BLOOD FORMING ORGAN DRUGS,B,NA
etybenzatropine,N04AC30,Anti-parkinson drugs
Other potassium-sparing agents in ATC,C03DB,Diuretics
lisinopril and diuretics,C09BA03,Agents acting on the renin–angiotensin system
Methyldopa and diuretics in combination,C02LB,Antihypertensives
HORMONES AND RELATED AGENTS,L02A,Endocrine therapy
chlorbenzoxamine,A03AX03,Drugs for functional gastrointestinal disorders
econazole,D01AC03,Antifungals for dermatological use
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C,Calcium channel blockers
sodium selenite,A12CE02,Mineral supplements
etomidate,N01AX07,Anesthetics
sultamicillin,J01CR04,Antibacterials for systemic use
"betaxolol, combinations",S01ED52,Ophthalmologicals
rivastigmine,N06DA03,Psychoanaleptics
idanpramine,A03AX06,Drugs for functional gastrointestinal disorders
thenalidine,D04AA03,Antipruritics
linezolid,J01XX08,Antibacterials for systemic use
penthienate,A03AB04,Drugs for functional gastrointestinal disorders
difetarsone,P01AR02,Antiprotozoals
dextran,B05AA05,Blood substitutes and perfusion solutions
pravastatin and acetylsalicylic acid,C10BX02,Lipid modifying agents
Calcineurin inhibitors,L04AD,Immunosuppressants
levobupivacaine,N01BB10,Anesthetics
oprelvekin,L03AC02,Immunostimulants
aciclovir,D06BB03,Antibiotics and chemotherapeutics for dermatological use
Cell Function,T043,NA
cefditoren,J01DD16,Antibacterials for systemic use
heptabarbital,N05CA11,Psycholeptics
labetalol,C07AG01,Beta blocking agents
fosphenytoin,N03AB05,Antiepileptics
fidaxomicin,A07AA12,Antidiarrheals
metreleptin,A16AA07,Other alimentary tract and metabolism products
piperidione,R05DB23,Cough and cold preparations
budesonide,D07AC09,Corticosteroids
"Carbohydrates/proteins/minerals/vitamins, combinations",V06DA,General nutrients
mexiletine,C01BB02,Cardiac therapy
sulfametrole and trimethoprim,J01EE03,Antibacterials for systemic use
Measles vaccines,J07BD,Vaccines
fenozolone,N06BA08,Psychoanaleptics
dibutylsuccinate,P03BX04,Ectoparasiticides
Somatropin and somatropin agonists,H01AC,Pituitary and hypothalamic hormones and analogues
Serotonin receptor antagonists for functional gastrointestinal disorders,A03AE,Drugs for functional gastrointestinal disorders
azapropazone,M01AX04,Anti-inflammatory and antirheumatic products
pyrimethamine,P01BD01,Antiprotozoals
dexpanthenol,A11HA30,Vitamins
benzydamine,M01AX07,Anti-inflammatory and antirheumatic products
diosmin,C05CA03,Vasoprotectives
OTHER DERMATOLOGICAL PREPARATIONS IN ATC,D11AX,Other dermatological preparations
Lavandulae aetheroleum,N05BX05,Psycholeptics
lapatinib,L01XE07,Antineoplastic agents
promazine,N05AA03,Psycholeptics
phytomenadione,B02BA01,Antihemorrhagics
Glycogenolytic hormones,H04AA,Pancreatic hormones
cefsulodin,J01DD03,Antibacterials for systemic use
histamine phosphate,V04CG03,Diagnostic agents
Bulk-forming laxatives,A06AC,Drugs for constipation
diloxanide,P01AC01,Antiprotozoals
Other peripheral vasodilators in ATC,C04AX,Peripheral vasodilators
clioquinol,S02AA05,Otologicals
ustekinumab,L04AC05,Immunosuppressants
morphine and antispasmodics,N02AG01,Analgesics
metformin and alogliptin,A10BD13,Drugs used in diabetes
ceritinib,L01XE28,Antineoplastic agents
"pethidine, combinations with psycholeptics",N02AB72,Analgesics
mezlocillin,J01CA10,Antibacterials for systemic use
"prilocaine, combinations",N01BB54,Anesthetics
phenolphthalein,A06AB04,Drugs for constipation
tetracosactide,H01AA02,Pituitary and hypothalamic hormones and analogues
"meningococcus A, purified polysaccharides antigen conjugated",J07AH10,Vaccines
technetium (99mTc) etarfolatide,V09IA08,Diagnostic radiopharmaceuticals
capreomycin,J04AB30,Antimycobacterials
ANTIBIOTICS FOR TOPICAL USE,D06A,Antibiotics and chemotherapeutics for dermatological use
mometasone,R03BA07,Drugs for obstructive airway diseases
Antiinfectives,S02AA,Otologicals
cortisone,H02AB10,Corticosteroids for systemic use
Detoxifying agents for antineoplastic treatment,V03AF,All other therapeutic products
cascara,A06AB07,Drugs for constipation
ethchlorvynol,N05CM08,Psycholeptics
amitriptyline and psycholeptics,N06CA01,Psychoanaleptics
palifermin,V03AF08,All other therapeutic products
thiamazole,H03BB02,Thyroid therapy
motretinide,D10AD05,Anti-acne preparations
Poliomyelitis vaccines,J07BF,Vaccines
DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,Drugs for obstructive airway diseases
Nucleotide Sequence,T086,NA
lesinurad,M04AB05,Antigout preparations
hyoscyamine and psycholeptics,A03CB31,Drugs for functional gastrointestinal disorders
fenfluramine,A08AA02,Antiobesity preparations
ANTIMETABOLITES,L01B,Antineoplastic agents
clorindione,B01AA09,Antithrombotic agents
carbuterol,R03CC10,Drugs for obstructive airway diseases
dihydrocodeine and acetylsalicylic acid,N02AJ02,Analgesics
Other peripherally acting muscle relaxants in ATC,M03AX,Muscle relaxants
bioallethrin,P03AC02,Ectoparasiticides
fluocinolone acetonide and antiseptics,D07BC02,Corticosteroids
etirinotecan pegol,L01XX56,Antineoplastic agents
ocrelizumab,L04AA36,Immunosuppressants
Combinations of antineoplastic agents,L01XY,Antineoplastic agents
