Drug,CHEMBL,ATC
Barbiturates and derivatives,CHEMBL9022,N03AA
Other combinations of nutrients in ATC,CHEMBL3527138,V06DX
tramadol,CHEMBL4059722,N02AX02
TONICS,CHEMBL1214124,A13A
sapropterin,CHEMBL1201774,A16AX07
"antiinfectives, combinations",CHEMBL539,S02AA30
Hepatitis vaccines,CHEMBL2108512,J07BC
magnesium sulfate,CHEMBL3989857,V04CC02
DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,CHEMBL49943,A03A
cefamandole,CHEMBL1360024,J01DC03
"Corticosteroid ophthalmologic antiinflammatory agents, plain",CHEMBL1152,S01BA
fentanyl,CHEMBL1201159,N02AB03
sulfaperin,CHEMBL2105499,J01ED06
necitumumab,CHEMBL1743047,L01XC22
medrysone,CHEMBL1201173,S01BA08
metronidazole,CHEMBL1200869,P01AB01
tacrolimus,CHEMBL3989887,L04AD02
fluoroestradiol (18F),CHEMBL1627367,V09IX11
visnadine,CHEMBL3989444,C04AX24
aluminium nicotinate,CHEMBL3707287,C10AD04
remifentanil,CHEMBL1201120,N01AH06
vasopressin (argipressin),CHEMBL2108986,H01BA01
peruvoside,CHEMBL1075790,C01AX02
interferon alfa-2b,CHEMBL1201558,L03AB05
anecortave,CHEMBL2106613,S01LA02
ANTIGOUT PREPARATIONS,CHEMBL897,M04
triamcinolone,CHEMBL1200449,D07AB09
procainamide,CHEMBL640,C01BA02
sulfamerazine,CHEMBL438,D06BA06
combinations of tetracyclines,CHEMBL1200718,J01AA20
bumetanide and potassium,CHEMBL1072,C03CB02
lorazepam,CHEMBL580,N05BA06
dihydroergocryptine mesylate,CHEMBL3707289,N04BC03
primaquine,CHEMBL455150,P01BA03
meptazinol,CHEMBL1477274,N02AX05
rilpivirine,CHEMBL1628504,J05AG05
etretinate,CHEMBL464,D05BB01
tubocurarine,CHEMBL339427,M03AA02
prednisone,CHEMBL635,H02AB07
Body System,CHEMBL24441,T022
idebenone,CHEMBL252556,N06BX13
bromopride,CHEMBL399510,A03FA04
promegestone,CHEMBL196003,G03DB07
dabigatran etexilate,CHEMBL539697,B01AE07
glimepiride and rosiglitazone,CHEMBL1481,A10BD04
Peripherally acting antiobesity products,CHEMBL175247,A08AB
"Oxazol, thiazine, and triazine derivatives centrally acting muscle relaxants",CHEMBL1371,M03BB
azidocillin,CHEMBL2105907,J01CE04
somatrem,CHEMBL1201620,H01AC02
Non-nucleoside reverse transcriptase inhibitors,CHEMBL57,J05AG
tetrazepam,CHEMBL2105527,M03BX07
Other antithyroid preparations in ATC,CHEMBL3527138,H03BX
Other antianemic preparations in ATC,CHEMBL3527138,B03XA
desogestrel and ethinylestradiol,CHEMBL1533,G03AA09
faldaprevir,CHEMBL3544915,J05AP04
nadifloxacin,CHEMBL363449,D10AF05
"timolol, thiazides and other diuretics",CHEMBL1200870,C07DA06
Silicone emollient and protective products,CHEMBL1628401,D02AA
hydrogen peroxide,CHEMBL71595,D08AX01
protriptyline,CHEMBL1200332,N06AA11
valdecoxib,CHEMBL865,M01AH03
gamolenic acid,CHEMBL464982,D11AX02
phenylephrine,CHEMBL1200339,S01GA05
ferric sodium citrate,CHEMBL3707284,B03AB01
MEDICATED DRESSINGS,CHEMBL1451116,D09A
"chlormezanone, combinations excl. psycholeptics",CHEMBL1200714,M03BB52
"emtricitabine, tenofovir alafenamide and bictegravir",CHEMBL2364637,J05AR20
Tuberculosis vaccines,CHEMBL2108795,J07AN
epoprostenol,CHEMBL962,B01AC09
"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",CHEMBL64545,N06B
"ramipril, amlodipine and hydrochlorothiazide",CHEMBL1168,C09BX03
"valsartan, amlodipine and hydrochlorothiazide",CHEMBL1200984,C09DX01
"chlorobutanol, combinations",CHEMBL1439973,A04AD54
butamirate,CHEMBL1332546,R05DB13
cefuroxime and metronidazole,CHEMBL1095930,J01RA03
dibunate,CHEMBL2107554,R05DB16
"Nitrofuran derivatives, antiseptics and disinfectants",CHEMBL43184,D08AF
technetium (99mTc) pentetic acid,CHEMBL1201524,V09EA01
diphtheria-hepatitis B-tetanus,CHEMBL2108512,J07CA07
magnesium hydroxide,CHEMBL2228966,G04BX01
Interleukin inhibitors,CHEMBL4297771,L04AC
potassium chloride,CHEMBL1200731,A12BA01
PROPULSIVES,CHEMBL325109,A03F
cholinesterase,CHEMBL433041,V03AB29
ergotamine,CHEMBL2448612,N02CA02
cineole,CHEMBL485259,R05CA13
"erythromycin, combinations",CHEMBL1200506,D10AF52
levocetirizine,CHEMBL1201191,R06AE09
mafenide,CHEMBL1201161,D06BA03
Molecular Biology Research Technique,CHEMBL1908906,T063
hydrocortisone,CHEMBL389621,A01AC03
ALL OTHER THERAPEUTIC PRODUCTS,CHEMBL415284,V03
ANTIMYCOTICS FOR SYSTEMIC USE,CHEMBL496957,J02A
POTASSIUM SUPPLEMENTS,CHEMBL2028510,A12B
formoterol and budesonide,CHEMBL1370,R03AK07
sorbitol,CHEMBL1682,B05CX02
lipegfilgrastim,CHEMBL2105765,L03AA14
fluvastatin,CHEMBL2220442,C10AA04
yttrium (90Y) citrate colloid,CHEMBL2108667,V10AA01
Urinary concrement solvents,CHEMBL4303605,G04BC
cladribine,CHEMBL1619,L01BB04
methyltestosterone,CHEMBL1395,G03BA02
daunorubicin,CHEMBL1200475,L01DB02
"phenacetin, combinations excl. psycholeptics",CHEMBL16073,N02BE53
Soft paraffin and fat products,CHEMBL2108076,D02AC
"Organic acids, Gynecological",CHEMBL1201498,G01AD
lysine,CHEMBL8085,B05XB03
neostigmine,CHEMBL278020,N07AA01
RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,CHEMBL2109038,V09E
"Salicylic acid and derivatives, analgesics and antipyretics",CHEMBL2447928,N02BA
Typhoid vaccines,CHEMBL2108822,J07AP
Alpha and beta blocking agents and other diuretics,CHEMBL2447928,C07CG
misoprostol,CHEMBL4064157,A02BB01
"antiinfectives, combinations",CHEMBL539,S03AA30
magnesium citrate,CHEMBL3989480,B05CB03
fluoroethylcholine (18F),CHEMBL3707264,V09IX08
"Tyrosine hydroxylase inhibitors, antihypertensives",CHEMBL1200862,C02KB
oxybuprocaine,CHEMBL1200,D04AB03
remikiren,CHEMBL31601,C09XA01
valsartan and amlodipine,CHEMBL1200984,C09DB01
"Epoxides, antineoplastic alkylating drugs",CHEMBL460287,L01AG
oseltamivir,CHEMBL1200340,J05AH02
almotriptan,CHEMBL1505,N02CC05
enalapril and nitrendipine,CHEMBL1200659,C09BB06
Anti-androgen hormone antagonists and related agents,CHEMBL1252,L02BB
pegteograstim,CHEMBL4297800,L03AA17
lisinopril,CHEMBL419213,C09AA03
hydralazine,CHEMBL276832,C02DB02
floctafenine,CHEMBL2105075,N02BG04
CARDIOVASCULAR SYSTEM DRUGS,CHEMBL77622,C
Mumps vaccines,CHEMBL2109201,J07BE
pyrvinium,CHEMBL1201303,P02CX01
piprozolin,CHEMBL2105231,A05AX01
magaldrate,CHEMBL3833350,A02AD02
nicotinamide,CHEMBL1140,A11HA01
phenacetin,CHEMBL16073,N02BE03
Digitalis glycosides,CHEMBL2109172,C01AA
tetracaine,CHEMBL1255654,D04AB06
"rauwolfia alkaloids, whole root",CHEMBL3559672,C02AA04
butorphanol,CHEMBL33986,N02AF01
oblimersen,CHEMBL2108324,L01XX36
"tixocortol, combinations",CHEMBL2107112,R01AD57
DIRECT ACTING ANTIVIRALS,CHEMBL515408,J05A
moxonidine,CHEMBL19236,C02AC05
Brucellosis vaccines,CHEMBL2108795,J07AD
ANTISEPTICS AND DISINFECTANTS,CHEMBL408917,D08
lornoxicam,CHEMBL1569487,M01AC05
ephedrine,CHEMBL1523964,C01CA26
technetium (99mTc) stannous agent labelled cells,CHEMBL1201524,V09GA06
Other systemic drugs for obstructive airway diseases in ATC,CHEMBL1201589,R03DX
reslizumab,CHEMBL2107884,R03DX08
dibenzepin,CHEMBL2104287,N06AA08
bietaserpine,CHEMBL3989595,C02AA07
AMINOGLYCOSIDE ANTIBACTERIALS,CHEMBL3037954,J01G
brompheniramine,CHEMBL1200961,R06AB01
"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",CHEMBL151445,R05C
Nutrients without phenylalanine,CHEMBL1234265,V06CA
perphenazine,CHEMBL567,N05AB03
ferumoxsil,CHEMBL1201503,V08CB01
kaolin,CHEMBL3833365,A07BC02
masitinib,CHEMBL1908391,L01XE22
mepyramine theophyllinacetate,CHEMBL511,R03DA12
phenoxybenzamine,CHEMBL1200787,C04AX02
ibuprofen,CHEMBL521,R02AX02
artemotil,CHEMBL301267,P01BE04
"pertussis, inactivated, whole cell",CHEMBL2109219,J07AJ01
retinol (vit A),CHEMBL986,A11CA01
methyprylon,CHEMBL1200790,N05CE02
selegiline,CHEMBL1200904,N04BD01
trametinib,CHEMBL2103875,L01XE25
sodium iopodate,CHEMBL1201033,V08AC08
emtricitabine and tenofovir alafenamide,CHEMBL2364637,J05AR17
Cell,CHEMBL4298070,T025
Avermectines,CHEMBL429339,P02CF
aminocaproic acid,CHEMBL1046,B02AA01
tibolone,CHEMBL1558898,G03CX01
perflubutane polymer microspheres,CHEMBL2104979,V08DA06
alginic acid,CHEMBL2108894,A02BX13
"hydroxocobalamin, combinations",CHEMBL2103737,B03BA53
hyoscyamine,CHEMBL1331216,A03BA03
trometamol,CHEMBL1200391,B05XX02
carboplatin,CHEMBL1351,L01XA02
calcium pangamate,CHEMBL3707447,A12AA11
AMPHENICOLS,CHEMBL1236282,J01B
hexafluronium,CHEMBL1201349,M03AC05
diethylstilbestrol,CHEMBL411,G03CB02
xamoterol,CHEMBL1329567,C01CX07
Sulfonamides antiinfectives/antiseptics and corticosteroids,CHEMBL3833354,G01BE
"Methylhydrazines, antineoplastics",CHEMBL1321,L01XB
tiotixene,CHEMBL1201,N05AF04
Xanthines and adrenergics,CHEMBL1628401,R03DB
ketotifen,CHEMBL1633,S01GX08
fluclorolone,CHEMBL3707231,D07AC02
Other intestinal antiinfectives in ATC,CHEMBL525028,A07AX
liraglutide,CHEMBL1201866,A10BJ02
hydrochlorothiazide and potassium,CHEMBL3989462,C03AB03
Other antiallergics in ATC,CHEMBL3527138,S01GX
amfetamine,CHEMBL405,N06BA01
krypton (81mKr) gas,CHEMBL1233877,V09EX01
Local anesthetics,CHEMBL46058,S01HA
meldonium,CHEMBL2104708,C01EB22
"pneumococcus, purified polysaccharides antigen",CHEMBL2109142,J07AL01
fluconazole,CHEMBL106,D01AC15
BETA BLOCKING AGENTS AND OTHER DIURETICS,CHEMBL3527138,C07C
cocaine,CHEMBL120901,R02AD03
clodantoin,CHEMBL356479,G01AX01
pirprofen,CHEMBL188952,M01AE08
"Antivirals for treatment of HIV infections, combinations",CHEMBL1643,J05AR
"Phenol and derivatives, antiseptics and disinfectants",CHEMBL2447928,D08AE
potassium lactate,CHEMBL1200664,B05XA15
ALKYLATING AGENTS,CHEMBL476,L01A
tyrothricin,CHEMBL577736,R02AB02
(2-benzhydryloxyethyl)diethyl-methylammonium iodide,CHEMBL3707204,A03AB16
bamipine,CHEMBL520400,D04AA15
UTEROTONICS,CHEMBL815,G02A
domiphen,CHEMBL1187011,A01AB06
naproxen and esomeprazole,CHEMBL2146133,M01AE52
dulaglutide,CHEMBL2108027,A10BJ05
hydrocodone,CHEMBL3989677,R05DA03
tadalafil,CHEMBL177542,G04BE08
"Imidazole derivatives, gyncological antiinfectives",CHEMBL9022,G01AF
tidiacic arginine,CHEMBL3707384,A05BA07
quinbolone,CHEMBL2106999,A14AA06
trimethobenzamide,CHEMBL1201256,R06AA10
timepidium bromide,CHEMBL2107574,A03AB19
desflurane,CHEMBL1200733,N01AB07
beclamide,CHEMBL64195,N03AX30
hepatitis A immunoglobulin,CHEMBL2108512,J06BB11
DRUGS FOR TREATMENT OF LEPRA,CHEMBL1292,J04B
colesevelam,CHEMBL1201473,C10AC04
Drugs used in erectile dysfunction,CHEMBL192,G04BE
trovafloxacin,CHEMBL1200779,J01MA13
bromazepam,CHEMBL277062,N05BA08
Colony stimulating factors,CHEMBL2105765,L03AA
"Antiarrhythmics, class Ic",CHEMBL315838,C01BC
encainide,CHEMBL315838,C01BC08
BILE AND LIVER THERAPY DRUGS,CHEMBL12208,A05
oxyphencyclimine,CHEMBL1200891,A03AA01
Organ or Tissue Function,CHEMBL3645269,T042
"quinidine, combinations with psycholeptics",CHEMBL1200437,C01BA71
OTHER OPHTHALMOLOGICALS IN ATC,CHEMBL3527138,S01X
Nucleoside and nucleotide reverse transcriptase inhibitors,CHEMBL713,J05AF
triamcinolone and antibiotics,CHEMBL1200449,D07CB01
diagnostic agents for fat absorption testing,CHEMBL2108408,V04CB
propamidine,CHEMBL23013,S01AX15
"Serotonin antagonists, antihypertensives",CHEMBL51,C02KD
pegaspargase,CHEMBL2108546,L01XX24
antithymocyte immunoglobulin (rabbit),CHEMBL2108981,L04AA04
carbenicillin,CHEMBL1200991,J01CA03
ANTICESTODALS,CHEMBL33845,P02D
bufexamac,CHEMBL94394,M01AB17
"meningococcus A,C, bivalent purified polysaccharides antigen",CHEMBL2108795,J07AH03
cefazedone,CHEMBL2107636,J01DB06
zomepirac,CHEMBL3989403,M01AB04
nomegestrol and estrogen,CHEMBL2105722,G03FB12
clevidipine,CHEMBL1237132,C08CA16
ofloxacin,CHEMBL4127074,S01AE01
"meningococcus B, outer membrane vesicle vaccine",CHEMBL4298071,J07AH06
"Carbamic acid esters, centrally acting muscle relaxants",CHEMBL1201117,M03BA
"Ovulation stimulants, synthetic",CHEMBL1201488,G03GB
mupirocin,CHEMBL3989715,D06AX09
minocycline,CHEMBL1200881,J01AA08
pheneturide,CHEMBL2107062,N03AX13
arsenic trioxide,CHEMBL2362016,L01XX27
estramustine,CHEMBL1756,L01XX11
hydrocortisone,CHEMBL389621,S01BA02
sodium oxybate,CHEMBL1200682,N07XX04
lactobacillus fermentum,CHEMBL2109070,G01AX14
fenbufen,CHEMBL277522,M01AE05
danaparoid,CHEMBL1201534,B01AB09
lodoxamide,CHEMBL1201266,S01GX05
2-amino-1-phenylethanol derivatives,CHEMBL1197051,C04AA
ordinary salt combinations and antiflatulents,CHEMBL1628401,A02AF02
triticum (wheat fibre),CHEMBL2108696,A06AC07
flupentixol,CHEMBL1496351,N05AF01
tofacitinib,CHEMBL2103743,L04AA29
teclozan,CHEMBL1788387,P01AC04
olsalazine,CHEMBL1201013,A07EC03
latamoxef,CHEMBL74632,J01DD06
betamethasone,CHEMBL1697784,S03BA03
bromocriptine,CHEMBL1255752,N04BC01
"Imidazothiazole derivatives, antinematodal",CHEMBL1454,P02CE
"Antibiotics, ophthalmologic",CHEMBL606111,S01AA
penbutolol and other diuretics,CHEMBL1200363,C07CA23
tolbutamide,CHEMBL782,A10BB03
Genetic Function,CHEMBL4297744,T045
clotiazepam,CHEMBL1697737,N05BA21
"aciclovir, combinations",CHEMBL184,D06BB53
oxycodone and paracetamol,CHEMBL656,N02AJ17
"donepezil, memantine and Ginkgo folium",CHEMBL807,N06DA53
"Ethers chemically close to antihistamines, centrally acting muscle relaxants",CHEMBL900,M03BC
pentamycin,CHEMBL2272031,G01AA11
nystatin,CHEMBL450895,A07AA02
asparaginase,CHEMBL2108989,L01XX02
eprozinol,CHEMBL2107691,R03DX02
cyamemazine,CHEMBL2104153,N05AA06
Other cephalosporins and penems in ATC,CHEMBL3527138,J01DI
ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS,CHEMBL1200452,G01B
"pyrimethamine, combinations",CHEMBL36,P01BD51
dacarbazine,CHEMBL476,L01AX04
artificial tears and other indifferent preparations,CHEMBL3527138,S01XA20
selenium compounds,CHEMBL1200680,D11AC03
aluminium chlorohydrate,CHEMBL2109016,M05BX02
chlorhexidine,CHEMBL1628,D08AC02
Quinoline gynecological antiinfectives,CHEMBL14474,G01AC
benzyl benzoate,CHEMBL1239,P03AX01
zinc sulfate,CHEMBL1200929,A12CB01
etanautine,CHEMBL3707215,N04AB01
"Choline derivative muscle relaxants, peripherally acting",CHEMBL703,M03AB
anidulafungin,CHEMBL264241,J02AX06
medifoxamine,CHEMBL85231,N06AX13
norgestimate and ethinylestradiol,CHEMBL1200934,G03AB09
sipuleucel-T,CHEMBL1237024,L03AX17
bekanamycin,CHEMBL1237048,J01GB13
pipenzolate and psycholeptics,CHEMBL1619528,A03CA09
methaqualone,CHEMBL2106829,N05CM01
sirolimus,CHEMBL413,S01XA23
micronomicin,CHEMBL373081,S01AA22
dornase alfa (desoxyribonuclease),CHEMBL1201431,R05CB13
fluorometholone,CHEMBL1200600,S01CB05
burosumab,CHEMBL3707326,M05BX05
losartan and diuretics,CHEMBL382821,C09DA01
alendronic acid and colecalciferol,CHEMBL870,M05BB03
montelukast,CHEMBL1200681,R03DC03
ancrod,CHEMBL2108481,B01AD09
caffeine,CHEMBL113,N06BC01
ANTIHISTAMINES FOR SYSTEMIC USE,CHEMBL496957,R06A
Anti-estrogens,CHEMBL1201468,L02BA
Corticosteroids/antiinfectives/mydriatics in combination,CHEMBL1200642,S01CB
MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,CHEMBL1200866,V08C
iodine iofetamine (123I),CHEMBL1909276,V09AB01
cimetidine,CHEMBL30,A02BA01
Antispasmodics in combination with other drugs,CHEMBL3527138,A03ED
orciprenaline,CHEMBL776,R03CB03
homatropine,CHEMBL1200851,S01FA05
Combination solutions for parenteral nutrition,CHEMBL1201498,B05BA10
methantheline,CHEMBL1201264,A03AB07
Other antispasmodics in combination with analgesics in ATC,CHEMBL1200642,A03DC
calcium phosphate,CHEMBL2107567,A12AA01
irbesartan and diuretics,CHEMBL1513,C09DA04
quinapril and diuretics,CHEMBL1162799,C09BA06
technetium (99mTc) disofenin,CHEMBL1200923,V09DA01
technetium (99mTc) pyrophosphate,CHEMBL1201524,V09BA03
lorlatinib,CHEMBL3286830,L01XE44
acetic acid,CHEMBL539,G01AD02
Behavior,CHEMBL1714,T053
aloxiprin,CHEMBL2108222,N02BA02
Blood substitutes and plasma protein fractions,CHEMBL2108773,B05AA
iodine (124I) 2beta-carbomethoxy-3beta-(4 iodophenyl)-tropane,CHEMBL3707242,V09AX03
nizatidine,CHEMBL653,A02BA04
ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,CHEMBL3527138,A03E
PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,CHEMBL2447928,H01
clorexolone,CHEMBL2106167,C03BA12
epinephrine and other drugs for obstructive airway diseases,CHEMBL1201589,R03AK01
azidamfenicol,CHEMBL3989525,S01AA25
mannitol,CHEMBL689,R05CB16
"Methyldopa, centrally acting adntiadrenergic agents",CHEMBL459,C02AB
oxytetracycline,CHEMBL1517,D06AA03
penciclovir,CHEMBL1540,D06BB06
bromazine,CHEMBL1201245,R06AA01
trepibutone,CHEMBL1725880,A03AX09
"carteolol, combinations",CHEMBL1201002,S01ED55
tetanus immunoglobulin,CHEMBL2108107,J06BB02
vinburnine,CHEMBL1892145,C04AX17
adrenalone,CHEMBL2103996,A01AD06
difenoxin,CHEMBL1201321,A07DA04
salicylamide,CHEMBL27577,N02BA05
sulfafurazole,CHEMBL453,J01EB05
local opthalmologic anesthetic combinations,CHEMBL1201217,S01HA30
sulfadiazine and tetroxoprim,CHEMBL1382627,J01EE06
ALIMENTARY TRACT AND METABOLISM DRUGS,CHEMBL1628401,A
acetyldigoxin,CHEMBL2074725,C01AA02
pentobarbital,CHEMBL448,N05CA01
piritramide,CHEMBL559288,N02AC03
Anthrax vaccines,CHEMBL2108573,J07AC
Individual Behavior,CHEMBL1714,T055
somatorelin,CHEMBL2108862,V04CD05
"Tars, topical antipsoriatics",CHEMBL2108694,D05AA
olaparib,CHEMBL521686,L01XX46
COMBINATIONS OF ANTIBACTERIALS,CHEMBL1200718,J01R
fluorodopa (18F),CHEMBL2105069,V09IX05
stem cells from umbilical cord blood,CHEMBL2108195,B05AX04
Imidazoline receptor agonists in combination with diuretics,CHEMBL862,C02LC
"OTHER VITAMIN PRODUCTS, COMBINATIONS in ATC",CHEMBL3527138,A11J
macitentan,CHEMBL2103873,C02KX04
bromelains,CHEMBL2109027,M09AB03
"metamizole sodium, combinations with psycholeptics",CHEMBL461522,N02BB72
infliximab,CHEMBL1201581,L04AB02
fenpiprane,CHEMBL2106726,A03AX01
guanfacine,CHEMBL862,C02AC02
nicofetamide,CHEMBL3707234,A03AC04
pralidoxime,CHEMBL1420,V03AB04
bietaserpine and diuretics,CHEMBL3989595,C02LA07
liquid paraffin,CHEMBL2108076,A06AA01
phenylbutazone and corticosteroids,CHEMBL3137687,M01BA01
DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),CHEMBL1201186,A02B
suxibuzone,CHEMBL1414320,M02AA22
certolizumab pegol,CHEMBL1201831,L04AB05
"methylpropylpropanediol dinitrate, combinations",CHEMBL3707209,C01DA54
dimetacrine,CHEMBL1328913,N06AA18
phenazone,CHEMBL1526434,S02DA03
pinacidil,CHEMBL1200338,C02DG01
"Insulins and analogs for injection, intermediate-acting combinations",CHEMBL1098659,A10AC30
sucroferric oxyhydroxide,CHEMBL3039566,V03AE05
oxaceprol,CHEMBL1407356,D11AX09
carteolol,CHEMBL1201002,C07AA15
ferric citrate,CHEMBL3301597,V03AE08
propylthiouracil,CHEMBL1518,H03BA02
artemisinin,CHEMBL269671,P01BE01
metformin and empagliflozin,CHEMBL2107830,A10BD20
osimertinib,CHEMBL3545063,L01XE35
Diagnostic agents for diabetes testing,CHEMBL496957,V04CA
technetium (99mTc) teboroxime,CHEMBL2104810,V09GA03
"VITAMIN B-COMPLEX, INCL. COMBINATIONS",CHEMBL2108015,A11E
cariprazine,CHEMBL2024517,N05AX15
fluocinolone acetonide,CHEMBL989,S02BA08
Other centrally acting agents in ATC,CHEMBL3527138,M03BX
Drugs for treatment of hyperkalemia and hyperphosphatemia,CHEMBL13829,V03AE
tenoxicam,CHEMBL302795,M01AC02
thyrotropin,CHEMBL1201532,V04CJ01
Osmotically acting laxatives,CHEMBL296306,A06AD
Antifungals for systemic use,CHEMBL496957,D01BA
BETA BLOCKING AGENTS AND VASODILATORS,CHEMBL6995,C07E
tetramethrin,CHEMBL1788386,P03BA04
silodosin,CHEMBL24778,G04CA04
phenolsulfonphthalein,CHEMBL258921,V04CH03
technetium (99mTc) rheniumsulfide colloid,CHEMBL1201529,V09DB06
broxyquinoline,CHEMBL223448,G01AC06
ANTIHEMORRHAGICS,CHEMBL877,B02
tisopurine,CHEMBL119423,M04AA02
"Body Part, Organ, or Organ Component",CHEMBL2106449,T023
emylcamate,CHEMBL2104208,N05BC03
Group,CHEMBL2108795,T096
megestrol and ethinylestradiol,CHEMBL1201139,G03AB01
moexipril and diuretics,CHEMBL1200534,C09BA13
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,CHEMBL3527138,A16
norethisterone,CHEMBL3187229,G03DC02
"typhoid, inactivated, whole cell",CHEMBL2108822,J07AP02
ioxaglic acid,CHEMBL1201291,V08AB03
Other drugs affecting bone structure and mineralization in ATC,CHEMBL2107874,M05BX
acarbose,CHEMBL404271,A10BF01
pimozide,CHEMBL1423,N05AG02
oxetacaine,CHEMBL127592,C05AD06
"liquid paraffin, combinations",CHEMBL2108076,A06AA51
"Acid preparations, digestives",CHEMBL1261,A09AB
meclofenoxate,CHEMBL1256131,N06BX01
"fibrinogen, human",CHEMBL2109072,B02BB01
ziprasidone,CHEMBL1375743,N05AE04
"multivitamins and other minerals, incl. combinations",CHEMBL3508697,A11AA03
simvastatin,CHEMBL1064,C10AA01
fertility disturbances test diagnostic agents,CHEMBL2108771,V04CM
metisazone,CHEMBL1512080,J05AA01
chloroprocaine,CHEMBL944,N01BA04
Non-selective beta-adrenoreceptor agonist inhalants,CHEMBL776,R03AB
fluconazole,CHEMBL106,J02AC01
Other antihistamines for systemic use in ATC,CHEMBL496957,R06AX
pyrrobutamine,CHEMBL1697849,R06AX08
perflenapent,CHEMBL1899801,V08DA03
Iron in other combinations,CHEMBL1200823,B03AE
zolimidine,CHEMBL2105534,A02BX10
"Gonadotropin releasing hormone analogues, endocrine therapy drugs",CHEMBL263690,L02AE
salbutamol and sodium cromoglicate,CHEMBL4088679,R03AK04
trypsin,CHEMBL2108821,B06AA07
methylthioninium chloride,CHEMBL405110,V03AB17
alfuzosin and finasteride,CHEMBL1723,G04CA51
indium (111In) antiovariumcarcinoma antibody,CHEMBL2111129,V09IB03
dexpanthenol,CHEMBL1200979,D03AX03
cyclophosphamide,CHEMBL88,L01AA01
"atenolol, thiazides and other diuretics",CHEMBL24,C07DB01
DRUGS USED IN ADDICTIVE DISORDERS,CHEMBL511142,N07B
tafluprost,CHEMBL1963683,S01EE05
fosinopril and diuretics,CHEMBL3039596,C09BA09
vismodegib,CHEMBL473417,L01XX43
"Arsenic compounds, for amoebiasis and other protozoal diseases",CHEMBL2447909,P01AR
"Corticosteroid derivatives, antimigraine drugs",CHEMBL9022,N02CB
propatylnitrate,CHEMBL488280,C01DA07
ezetimibe,CHEMBL1138,C10AX09
"Nitrosoureas, antineoplastic alkylating agents",CHEMBL1488,L01AD
sulprostone,CHEMBL3889508,G02AD05
brodalumab,CHEMBL1742996,L04AC12
dimethyl fumarate,CHEMBL2107333,L04AX07
spiramycin,CHEMBL453514,J01FA02
sodium chloride,CHEMBL1200574,A12CA01
mepartricin,CHEMBL3989893,A01AB16
"zidovudine, lamivudine and nevirapine",CHEMBL52100,J05AR05
ronifibrate,CHEMBL153983,C10AB07
BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,CHEMBL2108943,B05
fenticonazole,CHEMBL2107703,D01AC12
bezlotoxumab,CHEMBL2108670,J06BB21
tocofersolan,CHEMBL4303587,A11HA08
"cyclopentolate, combinations",CHEMBL1201338,S01FA54
Other high-ceiling diuretics in ATC,CHEMBL330829,C03CX
betamethasone and antiinfectives,CHEMBL1697784,S01CA05
follitropin beta,CHEMBL4297955,G03GA06
tolpropamine,CHEMBL2107261,D04AA12
propyliodone,CHEMBL1200821,V08AD03
rifamycin,CHEMBL236921,S02AA12
chlorhexidine,CHEMBL1628,A01AB03
carbenoxolone,CHEMBL1697717,A02BX01
"tiotropium bromide, combinations",CHEMBL3545181,R03BB54
sulfamoxole,CHEMBL2105399,J01EC03
veralipride,CHEMBL2105581,N05AL06
"Corticosteroids and antiinfectives in combination, opthalmologic",CHEMBL1200452,S01CA
aminophenazone,CHEMBL2104635,N02BB03
technetium (99mTc) exametazime,CHEMBL2107074,V09AA01
"pantoprazole, amoxicillin, clarithromycin and metronidazole",CHEMBL1502,A02BD11
sirukumab,CHEMBL1743071,L04AC15
"buprenorphine, combinations",CHEMBL2368861,N07BC51
nepafenac,CHEMBL1021,S01BC10
"Prostaglandins, oxytocics",CHEMBL1235252,G02AD
ciprofloxacin,CHEMBL8,S02AA15
filgrastim,CHEMBL1201567,L03AA02
"etidocaine, combinations",CHEMBL492,N01BB57
ticarcillin,CHEMBL1449,J01CA13
doxycycline,CHEMBL1256723,J01AA02
triamterene,CHEMBL585,C03DB02
telavancin,CHEMBL507870,J01XA03
rufloxacin,CHEMBL1385206,J01MA10
methylprednisolone and antiinfectives,CHEMBL1364144,S01CA08
proguanil,CHEMBL1377,P01BB01
mercuric amidochloride,CHEMBL1233307,D08AK01
flurbiprofen,CHEMBL563,M02AA19
lamivudine,CHEMBL52100,J05AF05
flunarizine,CHEMBL552659,N07CA03
carbamazepine,CHEMBL108,N03AF01
pegvisomant,CHEMBL1201515,H01AX01
edaravone,CHEMBL290916,N07XX14
